,HAQ,HAQ2,Pain/100,Age/10m,Age/10m2,HAQ,HAQ2,Pain/100,Age/10m,Age/10m2,HAQ,HAQ2,Pain/100,Age/10m,Age/10m2,HAQ,HAQ2,Pain/100,Age/10m,Age/10m2,Intercept1,Intercept2,Intercept3,Intercept4,Male,Variance 1,Variance 2,Variance 3,Variance 4,Variance,Intercept 1,HAQ,Pain/100,Pain/1002,Intercept 2,HAQ,Pain/100,Pain/1002,Intercept 3,HAQ,Pain/100,Pain/1002
Intercept1,-1.31844E-06,4.46054E-07,-9.19019E-07,-5.00224E-08,-9.41608E-08,-4.16168E-06,1.49525E-06,2.80705E-06,-3.07126E-07,-9.40927E-08,-7.62079E-07,2.04568E-07,1.40096E-07,-5.13354E-08,-3.74343E-08,6.40077E-06,-2.1666E-06,8.33244E-06,5.90346E-07,-2.07422E-07,1.67269E-06,-2.02669E-07,6.74661E-07,-1.11323E-06,-6.33251E-07,2.4648E-08,-2.31695E-07,-1.09121E-08,-3.54108E-07,-8.06296E-09,1.00036E-05,4.19055E-05,7.57375E-05,-1.58055E-05,-2.65315E-05,4.00636E-05,0.000213842,-0.000124664,-2.22279E-05,3.93757E-05,0.000187614,-0.000113345
Intercept2,2.92543E-06,-8.00032E-07,-1.32114E-06,-8.38366E-08,-5.4435E-08,-0.000190061,4.39459E-05,-7.91231E-05,-4.00002E-09,-4.91945E-06,5.53156E-06,-1.81302E-06,2.47002E-07,9.51746E-07,2.10994E-07,6.63188E-05,-2.01692E-05,1.25587E-05,4.21741E-06,-1.00106E-06,-2.02669E-07,0.000269326,-5.38821E-06,-2.43617E-05,-5.13383E-07,-1.18348E-07,4.43748E-06,3.74909E-07,-3.40416E-06,4.90978E-08,7.98679E-05,0.00030685,-0.000953647,0.000762979,0.000175448,0.000218468,-0.000299462,-0.000173434,0.000333362,0.000320604,-0.001533535,0.00111662
Intercept3,-3.52965E-07,2.1729E-07,-4.10922E-07,1.32908E-07,-1.62924E-08,5.89492E-05,-1.98433E-05,-3.77676E-05,4.63414E-06,4.24275E-07,-3.19406E-05,1.01524E-05,-5.55677E-05,-5.56357E-07,-6.71148E-07,5.77252E-06,-1.6173E-06,-3.00923E-06,1.49869E-07,-2.01434E-07,6.74661E-07,-5.38821E-06,6.58226E-05,-1.24044E-06,-5.26677E-07,8.16544E-09,3.69612E-06,7.99304E-07,-2.42321E-07,1.36783E-08,3.43142E-06,3.65265E-05,1.26861E-05,-8.8876E-05,-0.000556891,0.000334632,-0.000154689,-0.000201014,0.001260753,2.33908E-06,-0.003017162,0.001921944
Intercept4,-6.11747E-05,1.14909E-05,4.63115E-05,7.60876E-06,6.06184E-07,-7.62517E-05,2.46584E-05,9.46596E-05,-1.07829E-06,-2.43565E-06,-1.8539E-05,4.57675E-06,1.79063E-05,4.94236E-06,1.33697E-06,-0.002628034,0.000791438,-0.002102772,-0.000174699,4.9126E-05,-1.11323E-06,-2.43617E-05,-1.24044E-06,0.00107007,4.30491E-06,-9.30019E-07,-1.95874E-06,2.02417E-08,0.00013607,-5.93785E-07,-0.00070298,-0.014067295,0.002568603,-0.014619338,0.005647745,-0.013121145,-0.030038647,0.015040143,0.003437613,-0.013734246,-0.017546758,0.005183892
Male,1.52395E-07,-4.86836E-08,1.64756E-07,-4.3419E-08,1.2128E-08,5.58644E-07,-1.99478E-07,-1.29196E-07,-5.26109E-08,-3.51254E-09,6.79866E-08,3.71495E-08,-4.4237E-10,-3.41828E-08,2.11253E-08,-1.17157E-05,3.55475E-06,-9.84792E-06,-8.53766E-07,2.32458E-07,-6.33251E-07,-5.13383E-07,-5.26677E-07,4.30491E-06,1.61146E-06,-7.82428E-09,8.30359E-09,-2.24089E-09,6.21209E-07,4.43181E-10,-2.74746E-06,-6.54676E-05,4.24957E-06,-6.43879E-05,3.03885E-05,-6.20967E-05,-0.000150227,7.51097E-05,2.37142E-05,-6.17195E-05,-0.000121276,5.18336E-05
Variance 1,3.89927E-08,-5.44137E-09,-5.36408E-08,-7.30556E-09,-8.25796E-10,-1.77772E-07,7.48361E-08,1.79928E-07,-2.08329E-08,-7.97128E-10,1.57871E-08,-5.3768E-09,-1.89891E-08,-6.59342E-09,-8.3639E-10,2.31647E-06,-6.97511E-07,2.39206E-06,1.54774E-07,-5.04762E-08,2.4648E-08,-1.18348E-07,8.16544E-09,-9.30019E-07,-7.82428E-09,2.66224E-09,-1.68245E-08,-5.75231E-10,-1.19825E-07,-3.09331E-11,-2.24099E-07,1.34621E-05,1.15669E-05,5.1742E-06,-7.77712E-06,1.28077E-05,4.54833E-05,-2.46859E-05,-4.99486E-06,1.29429E-05,3.3786E-05,-1.63612E-05
Variance 2,6.46786E-07,-1.67143E-07,-1.73748E-07,2.09365E-08,1.32543E-08,3.24647E-05,-1.16554E-05,-2.56919E-05,1.83571E-06,1.80488E-07,2.83181E-08,-8.06758E-08,-5.09322E-06,3.49287E-07,-2.35689E-08,5.15157E-06,-1.5035E-06,7.03796E-07,2.89486E-07,-9.2341E-08,-2.31695E-07,4.43748E-06,3.69612E-06,-1.95874E-06,8.30359E-09,-1.68245E-08,2.60803E-06,2.13857E-07,-2.70047E-07,1.54899E-08,5.63617E-06,2.59775E-05,-8.83808E-05,7.44841E-05,-2.28963E-05,7.75237E-05,-0.000311309,0.000100754,0.000133365,3.95355E-05,-0.000304143,0.000176136
Variance 3,3.98485E-08,-1.03183E-08,-9.17731E-09,4.39466E-09,2.069E-09,2.8238E-06,-9.78511E-07,-2.44786E-06,2.24856E-07,2.31564E-08,4.20023E-08,-2.88563E-08,-1.08968E-06,4.30111E-08,-4.13424E-09,-2.06839E-08,1.79498E-08,-1.01551E-07,-1.22165E-09,-2.67944E-09,-1.09121E-08,3.74909E-07,7.99304E-07,2.02417E-08,-2.24089E-09,-5.75231E-10,2.13857E-07,4.72028E-08,5.30786E-10,4.16233E-10,-1.00876E-07,2.30426E-07,3.92747E-07,-1.59953E-06,-1.69026E-05,1.27983E-05,-2.51444E-05,3.31675E-07,3.1019E-05,-6.42805E-07,-6.24303E-05,3.90297E-05
Variance 4,-7.92574E-06,1.48008E-06,6.31148E-06,1.00376E-06,8.93561E-08,-1.00816E-05,3.2587E-06,1.27595E-05,-1.64659E-07,-3.17446E-07,-2.36015E-06,5.85466E-07,2.35955E-06,6.59415E-07,1.81117E-07,-0.000340046,0.000102353,-0.000271965,-2.30482E-05,6.61953E-06,-3.54108E-07,-3.40416E-06,-2.42321E-07,0.00013607,6.21209E-07,-1.19825E-07,-2.70047E-07,5.30786E-10,1.78216E-05,-7.1825E-08,-0.000105828,-0.001844907,0.000425388,-0.001957081,0.000730944,-0.001722732,-0.003850472,0.001930294,0.000434882,-0.001801223,-0.002199293,0.000624896
Variance,3.10098E-08,-2.56638E-09,-1.77875E-08,-3.36382E-09,-5.0786E-10,3.16421E-07,-1.13675E-07,-2.30192E-07,1.00531E-08,1.24162E-09,-1.27382E-08,8.25497E-09,-1.95305E-08,3.86002E-09,-9.55264E-10,1.41264E-06,-4.25113E-07,1.00496E-06,8.98122E-08,-2.74902E-08,-8.06296E-09,4.90978E-08,1.36783E-08,-5.93785E-07,4.43181E-10,-3.09331E-11,1.54899E-08,4.16233E-10,-7.1825E-08,3.17294E-09,5.64123E-07,7.1004E-06,-4.27143E-06,9.51772E-06,-2.10054E-06,6.64491E-06,1.08629E-05,-5.16943E-06,-1.13448E-06,7.16954E-06,4.70238E-06,2.90887E-07
